iter	RMSE
0	0.4687838961
1	0.4526128322
2	0.4365446281
3	0.4214439174
4	0.4055999749
5	0.390082786
6	0.3768414688
7	0.3641078054
8	0.3504868233
9	0.3374785824
10	0.32639859
11	0.3146689718
12	0.3052183738
13	0.2961063084
14	0.2846698756
15	0.2744281577
16	0.2648081888
17	0.2557953714
18	0.2480509505
19	0.2397762958
20	0.2327007071
21	0.2253927801
22	0.2184518826
23	0.2118496229
24	0.2072319325
25	0.2007165386
26	0.1948620156
27	0.1892088474
28	0.1836208452
29	0.1785736349
30	0.1728289895
31	0.1666208471
32	0.1624628745
33	0.1570310281
34	0.1518544944
35	0.1469650096
36	0.142645851
37	0.1382796209
38	0.134292362
39	0.1309965958
40	0.1269270428
41	0.1224957256
42	0.1189341091
43	0.1154819412
44	0.1126954509
45	0.1103333254
46	0.1066682567
47	0.1039744191
48	0.1005486216
49	0.09737250592
50	0.09406411759
51	0.09100053715
52	0.08818791809
53	0.08599388841
54	0.08311545161
55	0.08104169291
56	0.07889610692
57	0.07708684895
58	0.07491799003
59	0.07284716045
60	0.0704971706
61	0.06866396308
62	0.06662680584
63	0.06535695523
64	0.06388895808
65	0.06213358899
66	0.06074568788
67	0.05881961573
68	0.05692966673
69	0.05548185548
70	0.05392432236
71	0.05244307015
72	0.05124967041
73	0.04999777072
74	0.04883833985
75	0.04737106466
76	0.04622360471
77	0.04525814084
78	0.04452364842
79	0.04381809305
80	0.04293665727
81	0.04180974655
82	0.04130860939
83	0.04018034649
84	0.03910964328
85	0.03790809575
86	0.03700500718
87	0.03630690683
88	0.03544587947
89	0.03439500459
90	0.03351114289
91	0.03254880936
92	0.03165438358
93	0.03100846204
94	0.03029145687
95	0.02943828088
96	0.02884765648
97	0.02834338155
98	0.02785575098
99	0.02720023094
100	0.02658127324
101	0.02615689906
102	0.02565608016
103	0.02522609018
104	0.02479157918
105	0.02422081843
106	0.02379685561
107	0.02315933538
108	0.0226064367
109	0.02241432011
110	0.02207733214
111	0.02163848567
112	0.02127255225
113	0.02078122425
114	0.02031846952
115	0.02015971778
116	0.01974722988
117	0.01952734649
118	0.01904569484
119	0.01893953744
120	0.01854358788
121	0.01839184617
122	0.01823816196
123	0.01810699522
124	0.01797817877
125	0.01760685771
126	0.01727059411
127	0.01703971893
128	0.01687349358
129	0.01661035268
130	0.01632402135
131	0.01626984973
132	0.01625921525
133	0.01620204399
134	0.01602930649
135	0.01579908198
136	0.01566253518
137	0.01540168256
138	0.01511302141
139	0.01508620784
140	0.0148760003
141	0.01460129538
142	0.01429951772
143	0.01429338929
144	0.01410221838
145	0.01409151977
146	0.01389674408
147	0.01378867092
148	0.01366256631
149	0.01362027208
150	0.01360263324
151	0.01359667872
152	0.01351257899
153	0.01350751808
154	0.01333326168
155	0.01329907933
156	0.01313392174
157	0.01312128393
158	0.01290077223
159	0.01282158489
160	0.01266000415
161	0.01250336936
162	0.01241895104
163	0.01240601338
164	0.01234156962
165	0.01222468432
166	0.01221789372
167	0.0122059702
168	0.01211414867
169	0.01200882095
170	0.01193974192
171	0.01193584829
172	0.01173775943
173	0.01170556977
174	0.01168796263
175	0.01164239686
176	0.01145601716
177	0.01144023777
178	0.01131295827
179	0.01125673342
180	0.01112521163
181	0.01104519359
182	0.01091322714
183	0.01081073083
